N: 122, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 123, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 124, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 125, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 126, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 127, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 128, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.20
N: 129, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 130, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 131, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 132, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 133, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.20
N: 134, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 135, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 136, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 137, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 138, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 139, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 140, uva: 1.05, uvb: 0.09, uvc: 0.08, temp: 19.20
N: 141, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 142, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 143, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 144, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 145, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 146, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 147, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 148, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 149, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 150, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 151, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 152, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 153, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.15
N: 154, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.15
N: 155, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 156, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 157, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 158, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 159, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 160, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 161, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 162, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.25
N: 163, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.25
N: 164, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 165, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 166, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 167, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 168, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.25
N: 169, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.15
N: 170, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 171, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.25
N: 172, uva: 1.01, uvb: 0.06, uvc: 0.06, temp: 19.20
N: 173, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 174, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 175, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 176, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.25
N: 177, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 178, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 179, uva: 1.00, uvb: 0.06, uvc: 0.05, temp: 19.20
N: 180, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 181, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 182, uva: 1.02, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 183, uva: 1.04, uvb: 0.08, uvc: 0.07, temp: 19.25
N: 184, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.20
N: 185, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 186, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 187, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 188, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 189, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 190, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.25
N: 191, uva: 1.03, uvb: 0.07, uvc: 0.06, temp: 19.25
N: 192, uva: 1.05, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 193, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 194, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 195, uva: 1.03, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 196, uva: 1.02, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 197, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 198, uva: 1.03, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 199, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.25
N: 200, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 201, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 202, uva: 1.01, uvb: 0.05, uvc: 0.04, temp: 19.20
N: 203, uva: 1.02, uvb: 0.08, uvc: 0.07, temp: 19.20
N: 204, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 205, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 206, uva: 1.04, uvb: 0.09, uvc: 0.07, temp: 19.20
N: 207, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 208, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.20
N: 209, uva: 1.01, uvb: 0.07, uvc: 0.06, temp: 19.20
N: 210, uva: 1.02, uvb: 0.08, uvc: 0.06, temp: 19.20
